,Country,City,Latitude,Longitude,Temperature,Humidity %,Wind Speed,Cloudiness %
452,IN,rayadrug,14.7,76.87,77.35,51.0,7.72,0.0
453,AU,busselton,-33.64,115.35,51.01,45.0,17.67,0.0
454,RU,katangli,51.71,143.23,20.65,96.0,15.66,88.0
455,ID,sibolga,1.74,98.78,67.54,100.0,1.12,24.0
456,US,sitka,37.17,-99.65,63.0,53.0,5.99,0.0
457,IN,dharchula,29.85,80.53,35.23,93.0,1.57,88.0
458,PE,chicama,-7.84,-79.15,71.6,83.0,10.29,40.0
459,PF,tautira,-17.73,-149.15,86.0,70.0,6.93,75.0
460,RU,ukholovo,53.79,40.49,33.01,97.0,3.0,64.0
461,PT,belmonte,40.36,-7.35,46.99,71.0,1.01,0.0
462,PF,tiarei,-17.53,-149.33,86.0,70.0,6.93,75.0
463,MG,beloha,-25.17,45.06,76.27,75.0,15.43,20.0
464,RU,suntar,62.16,117.65,3.28,73.0,2.68,64.0
465,MX,jacala,21.0,-99.19,81.22,43.0,2.13,0.0
466,BR,cabedelo,-6.97,-34.84,82.4,74.0,6.93,20.0
467,NE,agadez,16.97,7.99,76.36,24.0,5.82,36.0
468,RU,belyy yar,53.6,91.39,35.6,93.0,4.47,75.0
469,MG,antsohihy,-14.88,47.99,74.29,99.0,3.69,88.0
470,RU,verkhnevilyuysk,63.45,120.31,2.74,65.0,4.14,44.0
471,US,redlands,34.06,-117.19,73.99,40.0,0.56,5.0
472,ET,lebu,8.96,38.73,64.4,34.0,6.93,20.0
473,NG,naze,5.43,7.07,80.6,83.0,7.38,40.0
474,GL,qaanaaq,77.48,-69.36,-20.66,86.0,8.05,0.0
475,IN,umaria,23.52,80.84,59.71,64.0,2.57,0.0
476,NP,jumla,29.28,82.18,28.12,89.0,1.68,88.0
477,GL,ilulissat,69.22,-51.1,30.2,54.0,20.8,68.0
479,KZ,ushtobe,45.25,77.98,41.44,93.0,3.02,92.0
480,PF,faanui,-16.48,-151.75,85.72,96.0,14.54,44.0
481,ZA,cape town,-33.93,18.42,66.0,88.0,13.87,0.0
482,CA,flin flon,54.77,-101.88,24.8,35.0,2.24,20.0
483,MX,coahuayana,18.62,-100.35,89.23,20.0,3.02,0.0
484,BO,urubicha,-15.63,-63.08,87.07,67.0,2.24,20.0
486,MX,los reyes,20.15,-98.16,76.72,40.0,2.8,0.0
487,AU,port pirie,-33.18,138.01,57.2,76.0,4.7,90.0
488,NZ,te anau,-45.41,167.72,64.03,81.0,8.61,76.0
490,US,williston,48.15,-103.62,35.6,74.0,11.41,90.0
491,US,glens falls,43.31,-73.64,55.4,29.0,11.41,1.0
495,LK,hambantota,6.12,81.12,73.4,100.0,3.36,0.0
496,RU,tilichiki,60.47,166.1,7.87,78.0,7.61,56.0
497,IN,ashta,16.95,74.41,67.09,70.0,3.13,0.0
498,PL,tabory,53.89,19.53,45.0,69.0,6.04,12.0
499,CN,shiyan,32.65,110.78,35.32,80.0,2.24,12.0
